Rank;Title;TotalCites;ImpactFactor;EigenfactorScore
1;CA-A CANCER JOURNAL FOR CLINICIANS;28839;244.585;0.06603
2;NEW ENGLAND JOURNAL OF MEDICINE;332830;79.258;0.70200
3;LANCET;233269;53.254;0.43574
4;CHEMICAL REVIEWS;174920;52.613;0.26565
5;Nature Reviews Materials;3218;51.941;0.01506
6;NATURE REVIEWS DRUG DISCOVERY;31312;50.167;0.05441
7;JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION;148774;47.661;0.29996
8;Nature Energy;5072;46.859;0.02043
9;NATURE REVIEWS CANCER;50407;42.784;0.07973
10;NATURE REVIEWS IMMUNOLOGY;39215;41.982;0.08536
11;NATURE;710766;41.577;1.35581
12;NATURE REVIEWS GENETICS;35680;41.465;0.09430
13;SCIENCE;645132;41.058;1.12716
14;CHEMICAL SOCIETY REVIEWS;125900;40.182;0.27569
15;NATURE MATERIALS;92291;39.235;0.19500
16;Nature Nanotechnology;57369;37.490;0.17063
17;LANCET ONCOLOGY;44961;36.418;0.13644
18;REVIEWS OF MODERN PHYSICS;47289;36.367;0.05455
19;NATURE BIOTECHNOLOGY;57510;35.724;0.16146
20;NATURE REVIEWS MOLECULAR CELL BIOLOGY;43667;35.612;0.09554
21;NATURE REVIEWS NEUROSCIENCE;40834;32.635;0.06994
22;NATURE MEDICINE;75461;32.621;0.17198
23;Nature Photonics;39331;32.521;0.12812
24;NATURE REVIEWS MICROBIOLOGY;26627;31.851;0.05549
25;CELL;230625;31.398;0.58326
26;ADVANCES IN PHYSICS;5747;30.917;0.00504
27;Energy & Environmental Science;71920;30.067;0.18032
28;World Psychiatry;4055;30.000;0.01054
28;World Psychiatry;4055;30.000;0.01054
30;LANCET NEUROLOGY;28671;27.138;0.06904
31;NATURE GENETICS;93639;27.125;0.23411
32;NATURE METHODS;54686;26.919;0.24317
33;PSYCHOLOGICAL INQUIRY;4063;26.364;0.00322
34;JOURNAL OF CLINICAL ONCOLOGY;156474;26.303;0.28513
35;Nature Chemistry;29548;26.201;0.10172
36;PROGRESS IN ENERGY AND COMBUSTION SCIENCE;10618;25.242;0.00983
37;LANCET INFECTIOUS DISEASES;20494;25.148;0.06728
38;Annual Review of Astronomy and Astrophysics;10702;24.912;0.02108
39;Nature Reviews Clinical Oncology;8354;24.653;0.02611
40;PROGRESS IN POLYMER SCIENCE;24520;24.558;0.02742
41;Materials Today;9962;24.537;0.01713
42;MATERIALS SCIENCE & ENGINEERING R-REPORTS;7119;24.480;0.00544
43;Cancer Discovery;11896;24.373;0.06535
